currentRanking,displayName,userUrl,tier,points,joined,totalGoldMedals,totalSilverMedals,totalBronzeMedals
1366,Stanley Zheng,/stanleyjzheng,expert,6795,2020-06-02,0,1,1
1367,Bogdan Ghenea,/cubbus,expert,6792,2014-12-31,1,1,7
1368,Mengfei Li,/meli19,master,6781,2017-04-15,1,6,5
1369,dan musetoiu,/danmusetoiu,expert,6772,2018-02-01,0,0,2
1370,Vladimir Osin,/resolut,expert,6769,2015-09-16,0,3,8
1371,nekoder,/nekoyyy,expert,6768,2017-09-09,0,4,0
1372,Amane Suzuki,/amaotone,master,6767,2017-07-29,1,3,3
1373,Lex Toumbourou,/lextoumbourou,expert,6763,2011-11-05,0,6,1
1374,Roe,/yoshiyukiito,expert,6745,2017-04-27,0,3,4
1375,jiaming,/jiaming08,master,6745,2019-01-28,1,3,0
1376,shiron8bit,/shiron8bit,expert,6742,2015-10-26,0,1,3
1377,Gzl0506,/gzl0506,expert,6735,2020-08-10,0,1,2
1378,AtomicSamurai,/yingyuan,expert,6725,2018-03-20,1,0,1
1379,Kazuhiro,/matsuik,master,6723,2018-08-01,1,4,0
1380,Rishabh Agrahari,/rishabhiitbhu,expert,6720,2016-10-21,0,2,2
1381,NAMBA,/yasumasanamba,expert,6705,2019-10-01,0,1,1
1382,Kranthi Kumar,/kranthi9,expert,6698,2018-01-04,0,0,2
1383,leo,/bluexleoxgreen,expert,6696,2018-04-25,0,2,2
1384,AbdulWahab Kabani,/abdulwahabkabani,master,6687,2013-11-12,2,3,3
1385,Vladimir Fomenko,/vfomenko,expert,6669,2016-07-15,0,3,2
1386,José A. Guerrero,/blindape,grandmaster,6668,2011-01-27,11,21,11
1387,Mikhail Fadeev,/mikhailfadeev,expert,6667,2015-12-19,0,0,2
1388,Ming Jie,/mwong007,expert,6666,2018-11-07,0,1,2
1389,chensheng,/chenshengabc,expert,6661,2018-02-09,1,1,1
1390,Willie Liao,/willieliao,master,6659,2011-10-10,1,16,13
1391,rincha,/satrin,expert,6650,2018-03-07,0,2,0
1392,Jacques Peeters,/jacquespeeters,expert,6649,2016-03-19,0,3,2
1393,Jean-Philippe MARY,/jpmary,expert,6622,2017-09-15,0,1,2
1394,nurbs,/zhouqingsongct,master,6615,2019-01-12,2,3,1
1395,行走在过拟合的路上,/powercode,expert,6613,2018-05-16,0,2,3
1396,qubvel,/pavel92,master,6604,2017-03-03,1,2,3
1397,gakki,/sdeagggg,expert,6597,2018-11-26,0,4,0
1398,nadare,/nadare,expert,6595,2018-06-01,0,4,1
1399,Jun Xie,/kylinorange,master,6589,2017-04-28,2,3,1
1400,yimacs,/yimacs,expert,6585,2015-07-11,0,7,1
1401,Alejandro Lanaspa,/alelafe,expert,6585,2018-09-19,1,1,1
1402,Yingge WAN,/gracewan,expert,6578,2016-07-24,1,1,0
1403,Gunes Evitan,/gunesevitan,expert,6578,2019-01-15,0,2,2
1404,Akutagawa,/akutagawa,expert,6577,2019-03-27,0,1,2
1405,Ivan Razumov,/razumovivan,expert,6571,2019-03-08,0,1,1
1406,Johannes,/johannesmdr,expert,6571,2019-08-06,0,2,1
1407,agis,/agis09,expert,6560,2018-01-10,1,0,1
1408,cpuwdl,/cpuwdl,master,6558,2017-07-30,1,4,6
1409,Jack Vial,/jackvial,expert,6556,2017-04-04,0,2,0
1410,wenchao,/xwc940512,master,6555,2016-05-28,2,4,0
1411,Michał Sypetkowski,/msypetkowski,expert,6554,2018-03-23,1,1,1
1412,Youliang Yu,/aviatorx,master,6551,2015-12-14,1,4,1
1413,Kwabena,/kwabenantim,expert,6548,2013-05-23,0,2,0
1414,amaia,/aamaia,expert,6545,2013-05-08,0,5,7
1415,Seva Konyakhin,/sevakon,expert,6544,2019-07-16,0,1,1
1416,TianyuZhu,/zhutianyucs,expert,6540,2017-05-05,0,3,0
