currentRanking,displayName,userUrl,tier,points,joined,totalGoldMedals,totalSilverMedals,totalBronzeMedals
134,palak sood,/palaksood97,expert,43,2018-06-26,0,0,6
135,yash chaudhary,/yash612,expert,43,2019-03-21,0,1,2
136,JIL KOTHARI,/jilkothari,expert,43,2019-10-20,0,0,3
137,Daniboy370,/daniboy370,expert,43,2020-04-16,0,0,3
138,Vikas Ukani,/vikasukani,expert,43,2020-07-17,0,0,6
139,Kyubyong Park,/bryanpark,expert,42,2015-03-06,0,1,5
140,Dieter,/christofhenkel,expert,42,2017-11-17,0,0,5
141,Arpit Dwivedi,/arpitdw,expert,42,2018-09-30,0,0,4
142,Daria Chemkaeva,/lsind18,expert,42,2019-03-08,0,0,4
143,Nipun Arora,/nipunarora8,expert,42,2019-07-12,0,1,2
144,Mohammad Reza Ghari,/rezaghari,expert,42,2019-10-05,0,1,2
145,Thaddeus Segura,/thaddeussegura,expert,42,2020-01-24,0,0,6
146,Alin Cijov,/alincijov,expert,42,2020-04-25,0,0,3
147,David Robinson,/drobinson,expert,41,2012-08-28,0,4,1
148,Shion,/shiondatafiniti,expert,41,2016-11-17,0,3,3
149,ryches,/ryches,expert,41,2017-04-21,0,2,3
150,Fellipe Gomes,/gomes555,expert,41,2017-08-17,0,0,4
151,SAIF UDDIN,/saife245,expert,41,2018-08-05,0,0,5
152,Bavalpreet,/bavalpreet26,expert,41,2018-12-19,0,0,5
153,ma7555,/ma7555,expert,41,2019-03-27,0,0,4
154,Haithem Hermessi,/haithemhermessi,expert,41,2020-02-14,0,0,6
155,Raja CSP,/rajacsp,expert,40,2015-09-01,0,0,3
156,nicapotato,/nicapotato,expert,40,2017-01-13,1,0,2
157,Fares Sayah,/faressayah,expert,40,2019-06-18,0,0,5
158,The ML PhD Student,/themlphdstudent,expert,40,2020-07-24,0,0,5
159,Carlo Lepelaars,/carlolepelaars,expert,39,2018-05-31,0,1,4
160,Jeffrey Braun,/jeffreybraun,expert,39,2020-04-11,0,0,3
161,Shane Smith,/smid80,expert,37,2017-01-27,0,1,4
162,Balraj Ashwath,/balraj98,expert,37,2018-03-12,0,0,4
163,Paulo Breviglieri,/pcbreviglieri,expert,37,2020-03-27,0,0,4
164,yuval reina,/yuval6967,expert,36,2018-01-15,0,2,1
165,Bhushan Kapkar,/bpkapkar,expert,36,2018-08-23,0,1,2
166,Mike Chirico,/mchirico,expert,35,2014-12-30,1,2,4
